"SSBETA.Code.or.Value","SSBETA.Value.Description","SSBETA.Count","SSBETA.Cumulative","SSBETA.Skip.to.Item"
"0.7 to 2.8","Range of Values",170,170,NA
".","Missing",1871,2041,NA
