"OSQ140u.Code.or.Value","OSQ140u.Value.Description","OSQ140u.Count","OSQ140u.Cumulative","OSQ140u.Skip.to.Item"
"1","Month",183,183,NA
"2","Year",89,272,NA
"7","Refused",0,272,NA
"9","Don't know",0,272,NA
".","Missing",5946,6218,NA
