"OPDUNVE.Code.or.Value","OPDUNVE.Value.Description","OPDUNVE.Count","OPDUNVE.Cumulative","OPDUNVE.Skip.to.Item"
"0","None",3252,3252,NA
"1","Questionable",13,3265,NA
"2","< 1/2 Disc Area",5,3270,NA
"3",">= 1/2 Disc Area",0,3270,NA
".","Missing",593,3863,NA
