"URXCNP.Code.or.Value","URXCNP.Value.Description","URXCNP.Count","URXCNP.Cumulative","URXCNP.Skip.to.Item"
"0.14 to 246.4","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
