"LBDSCHSI.Code.or.Value","LBDSCHSI.Value.Description","LBDSCHSI.Count","LBDSCHSI.Cumulative","LBDSCHSI.Skip.to.Item"
"2.017 to 14.611","Range of Values",6254,6254,NA
".","Missing",490,6744,NA
