"DTD130Q.Code.or.Value","DTD130Q.Value.Description","DTD130Q.Count","DTD130Q.Cumulative","DTD130Q.Skip.to.Item"
"0 to 60","Range of Values",7845,7845,NA
"777","Refused",3,7848,NA
"999","Don't know",8,7856,NA
".","Missing",685,8541,NA
