"HSQ520.Code.or.Value","HSQ520.Value.Description","HSQ520.Count","HSQ520.Cumulative","HSQ520.Skip.to.Item"
"1","Yes",609,609,NA
"2","No",8794,9403,NA
"7","Refused",2,9405,NA
"9","Don't know",13,9418,NA
".","Missing",964,10382,NA
