"OSQ040bb.Code.or.Value","OSQ040bb.Value.Description","OSQ040bb.Count","OSQ040bb.Cumulative","OSQ040bb.Skip.to.Item"
"1","Under 50 years old, or",70,70,"OSQ025"
"2","50 years old or older?",21,91,""
"7","Refused",0,91,"OSQ025"
"9","Don't know",0,91,"OSQ025"
".","Missing",6127,6218,""
