"DRD350FQ.Code.or.Value","DRD350FQ.Value.Description","DRD350FQ.Count","DRD350FQ.Cumulative","DRD350FQ.Skip.to.Item"
"1 to 15","Range of Values",334,334,NA
".","Missing",9616,9950,NA
