"LBDTNALC.Code.or.Value","LBDTNALC.Value.Description","LBDTNALC.Count","LBDTNALC.Cumulative","LBDTNALC.Skip.to.Item"
"0","detectable result",1371,1371,NA
"1","below detectable limit",562,1933,NA
".","Missing",341,2274,NA
