"GTDSCMMN.Code.or.Value","GTDSCMMN.Value.Description","GTDSCMMN.Count","GTDSCMMN.Cumulative","GTDSCMMN.Skip.to.Item"
"0 to 10","Range of Values",2283,2283,NA
".","Missing",1032,3315,NA
