"DS1TNIAC.Code.or.Value","DS1TNIAC.Value.Description","DS1TNIAC.Count","DS1TNIAC.Cumulative","DS1TNIAC.Skip.to.Item"
"0.303 to 1500","Range of Values",1374,1374,NA
".","Missing",8439,9813,NA
