"LBXUIB.Code.or.Value","LBXUIB.Value.Description","LBXUIB.Count","LBXUIB.Cumulative","LBXUIB.Skip.to.Item"
"12 to 602","Range of Values",5899,5899,NA
".","Missing",502,6401,NA
