"LBDHDLSI.Code.or.Value","LBDHDLSI.Value.Description","LBDHDLSI.Count","LBDHDLSI.Cumulative","LBDHDLSI.Skip.to.Item"
"0.21 to 3.58","Range of Values",7424,7424,NA
".","Missing",920,8344,NA
