"CSQ120G.Code.or.Value","CSQ120G.Value.Description","CSQ120G.Count","CSQ120G.Cumulative","CSQ120G.Skip.to.Item"
"7","Bad or Foul",56,56,NA
".","Missing",3759,3815,NA
