"ORXHPV.Code.or.Value","ORXHPV.Value.Description","ORXHPV.Count","ORXHPV.Cumulative","ORXHPV.Skip.to.Item"
"1","Positive",359,359,NA
"2","Negative",4365,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
