"HSQ480.Code.or.Value","HSQ480.Value.Description","HSQ480.Count","HSQ480.Cumulative","HSQ480.Skip.to.Item"
"0 to 30","Range of Values",6543,6543,NA
"77","Refused",2,6545,NA
"99","Don't know",9,6554,NA
".","Missing",3281,9835,NA
