"WHQ200.Code.or.Value","WHQ200.Value.Description","WHQ200.Count","WHQ200.Cumulative","WHQ200.Skip.to.Item"
"17 to 74","Range of Values",58,58,NA
"77777","Refused",0,58,NA
"99999","Don't know",0,58,NA
".","Missing",6269,6327,NA
