"URXMB1.Code.or.Value","URXMB1.Value.Description","URXMB1.Count","URXMB1.Cumulative","URXMB1.Skip.to.Item"
"0.495 to 2.22","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
