"LBXSCR.Code.or.Value","LBXSCR.Value.Description","LBXSCR.Count","LBXSCR.Cumulative","LBXSCR.Skip.to.Item"
"0.14 to 15.66","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
