"DSQIVK.Code.or.Value","DSQIVK.Value.Description","DSQIVK.Count","DSQIVK.Cumulative","DSQIVK.Skip.to.Item"
"1.25 to 1600","Range of Values",1550,1550,NA
".","Missing",6850,8400,NA
