"DRD370FQ.Code.or.Value","DRD370FQ.Value.Description","DRD370FQ.Count","DRD370FQ.Cumulative","DRD370FQ.Skip.to.Item"
"1 to 21","Range of Values",257,257,NA
".","Missing",9556,9813,NA
