"SSGI1CM.Code.or.Value","SSGI1CM.Value.Description","SSGI1CM.Count","SSGI1CM.Cumulative","SSGI1CM.Skip.to.Item"
"0 to 100000","Range of Values",917,917,NA
".","Missing",29,946,NA
