"LBCTCDLA.Code.or.Value","LBCTCDLA.Value.Description","LBCTCDLA.Count","LBCTCDLA.Cumulative","LBCTCDLA.Skip.to.Item"
"0.1697 to 5.03","Range of Values",290,290,NA
".","Missing",11,301,NA
