"LBXZEB.Code.or.Value","LBXZEB.Value.Description","LBXZEB.Count","LBXZEB.Cumulative","LBXZEB.Skip.to.Item"
"0.1380909439 to 2210.39","Range of Values",642,642,NA
".","Missing",209,851,NA
