"RHQ060.Code.or.Value","RHQ060.Value.Description","RHQ060.Count","RHQ060.Cumulative","RHQ060.Skip.to.Item"
"12 to 65","Range of Values",1168,1168,NA
"777","Refused",0,1168,NA
"999","Don't know",92,1260,NA
".","Missing",2038,3298,NA
