"DR2TSODI.Code.or.Value","DR2TSODI.Value.Description","DR2TSODI.Count","DR2TSODI.Cumulative","DR2TSODI.Skip.to.Item"
"19 to 13483","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
