"SSL_FLC.Code.or.Value","SSL_FLC.Value.Description","SSL_FLC.Count","SSL_FLC.Cumulative","SSL_FLC.Skip.to.Item"
"0.0851 to 48.2","Range of Values",164,164,NA
".","Missing",1877,2041,NA
