"RDQ137.Code.or.Value","RDQ137.Value.Description","RDQ137.Count","RDQ137.Cumulative","RDQ137.Skip.to.Item"
"0","None",758,758,NA
"1","1 to 7",186,944,NA
"2","8 to 30",38,982,NA
"3","31 plus",16,998,NA
"7","Refused",2,1000,NA
"9","Don't know",7,1007,NA
".","Missing",8659,9666,NA
