"SMD190.Code.or.Value","SMD190.Value.Description","SMD190.Count","SMD190.Cumulative","SMD190.Skip.to.Item"
"7 to 70","Range of Values",144,144,""
"0","Never used snuff regularly",26,170,"SMQ210"
"777","Refused",0,170,"SMQ210"
"999","Don't know",1,171,"SMQ210"
".","Missing",4709,4880,""
