"DRXTM201.Code.or.Value","DRXTM201.Value.Description","DRXTM201.Count","DRXTM201.Cumulative","DRXTM201.Skip.to.Item"
"0 to 2.46","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
