"DS2IVB1.Code.or.Value","DS2IVB1.Value.Description","DS2IVB1.Count","DS2IVB1.Cumulative","DS2IVB1.Skip.to.Item"
"0.0132 to 250","Range of Values",1768,1768,NA
".","Missing",3880,5648,NA
