"DUQ352.Code.or.Value","DUQ352.Value.Description","DUQ352.Count","DUQ352.Cumulative","DUQ352.Skip.to.Item"
"1","Once",17,17,NA
"2","2-5 times",59,76,NA
"3","6-19 times",43,119,NA
"4","20-49 times",31,150,NA
"5","50-99 times",23,173,NA
"6","100 times or more",64,237,NA
"77","Refused",2,239,NA
"99","Don't know",0,239,NA
".","Missing",5063,5302,NA
