"AUXU4KR.Code.or.Value","AUXU4KR.Value.Description","AUXU4KR.Count","AUXU4KR.Cumulative","AUXU4KR.Skip.to.Item"
"-10 to 120","Range of Values",2179,2179,NA
"666","No response",8,2187,NA
"888","Could not obtain",15,2202,NA
".","Missing",166,2368,NA
