"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",93,93,""
"2","No",4789,4882,"DRD370J"
".","Missing",4662,9544,""
