"RFXC109.Code.or.Value","RFXC109.Value.Description","RFXC109.Count","RFXC109.Cumulative","RFXC109.Skip.to.Item"
"-7.493 to 5.448","Range of Values",51059,51059,NA
".","Missing",17,51076,NA
