"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"48 to 81","Range of Values",6376,6376,NA
"7777","Refused",1,6377,NA
"9999","Don't know",62,6439,NA
".","Missing",25,6464,NA
