"WBXF045.Code.or.Value","WBXF045.Value.Description","WBXF045.Count","WBXF045.Cumulative","WBXF045.Skip.to.Item"
"1334.8399 to 1334.8399","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
