"WHD100P.Code.or.Value","WHD100P.Value.Description","WHD100P.Count","WHD100P.Cumulative","WHD100P.Skip.to.Item"
"42","Started to smoke or began to smoke again",5,5,NA
".","Missing",6134,6139,NA
