"ARDLFTL.Code.or.Value","ARDLFTL.Value.Description","ARDLFTL.Count","ARDLFTL.Cumulative","ARDLFTL.Skip.to.Item"
"0 to 11","Range of Values",4665,4665,NA
".","Missing",336,5001,NA
