"URXUAS.Code.or.Value","URXUAS.Value.Description","URXUAS.Count","URXUAS.Cumulative","URXUAS.Skip.to.Item"
"0.18 to 677.14","Range of Values",3061,3061,NA
".","Missing",218,3279,NA
