"BMXSAD1.Code.or.Value","BMXSAD1.Value.Description","BMXSAD1.Count","BMXSAD1.Cumulative","BMXSAD1.Skip.to.Item"
"10 to 40.2","Range of Values",7218,7218,NA
".","Missing",2595,9813,NA
