"LBXMUM.Code.or.Value","LBXMUM.Value.Description","LBXMUM.Count","LBXMUM.Cumulative","LBXMUM.Skip.to.Item"
"0.09 to 8.091","Range of Values",5054,5054,NA
".","Missing",598,5652,NA
