"AUXRR236.Code.or.Value","AUXRR236.Value.Description","AUXRR236.Count","AUXRR236.Cumulative","AUXRR236.Skip.to.Item"
"-16 to 42","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
