"LBDPFHSL.Code.or.Value","LBDPFHSL.Value.Description","LBDPFHSL.Count","LBDPFHSL.Cumulative","LBDPFHSL.Skip.to.Item"
"0","At or above the detection limit",2143,2143,NA
"1","Below lower detection limit",25,2168,NA
".","Missing",171,2339,NA
