"BIXS028K.Code.or.Value","BIXS028K.Value.Description","BIXS028K.Count","BIXS028K.Cumulative","BIXS028K.Skip.to.Item"
"273.28 to 995.19","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
