"RFXT033.Code.or.Value","RFXT033.Value.Description","RFXT033.Count","RFXT033.Cumulative","RFXT033.Skip.to.Item"
"274 to 283","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
