"RFXT139.Code.or.Value","RFXT139.Value.Description","RFXT139.Count","RFXT139.Cumulative","RFXT139.Skip.to.Item"
"1212 to 1220","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
