"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","At or above detection limit",1119,1119,NA
"1","Below lower detection limit",1736,2855,NA
".","Missing",317,3172,NA
