"MPQ120u.Code.or.Value","MPQ120u.Value.Description","MPQ120u.Count","MPQ120u.Cumulative","MPQ120u.Skip.to.Item"
"30","Lower leg - right",93,93,NA
".","Missing",4787,4880,NA
