"DSXBG1LD.Code.or.Value","DSXBG1LD.Value.Description","DSXBG1LD.Count","DSXBG1LD.Cumulative","DSXBG1LD.Skip.to.Item"
"0.01 to 0.08","Range of Values",4306,4306,NA
".","Missing",5134,9440,NA
