"BIXS012K.Code.or.Value","BIXS012K.Value.Description","BIXS012K.Count","BIXS012K.Cumulative","BIXS012K.Skip.to.Item"
"271.34 to 1059.95","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
