"LBXCD8.Code.or.Value","LBXCD8.Value.Description","LBXCD8.Count","LBXCD8.Cumulative","LBXCD8.Skip.to.Item"
"162 to 1545","Range of Values",41,41,NA
".","Missing",2779,2820,NA
