"VIDORFM.Code.or.Value","VIDORFM.Value.Description","VIDORFM.Count","VIDORFM.Cumulative","VIDORFM.Skip.to.Item"
"5 to 9","Range of Values",6291,6291,NA
".","Missing",626,6917,NA
