"RFXC033.Code.or.Value","RFXC033.Value.Description","RFXC033.Count","RFXC033.Cumulative","RFXC033.Skip.to.Item"
"-8.215 to 5.36","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
