"CVQ220l.Code.or.Value","CVQ220l.Value.Description","CVQ220l.Count","CVQ220l.Cumulative","CVQ220l.Skip.to.Item"
"1","Yes",17,17,NA
"2","No",436,453,NA
".","Missing",4699,5152,NA
