"URXUMS.Code.or.Value","URXUMS.Value.Description","URXUMS.Count","URXUMS.Cumulative","URXUMS.Skip.to.Item"
"0.21 to 9600","Range of Values",8052,8052,NA
".","Missing",239,8291,NA
