"FFQ0123A.Code.or.Value","FFQ0123A.Value.Description","FFQ0123A.Count","FFQ0123A.Cumulative","FFQ0123A.Skip.to.Item"
1,"Almost never or never",2158,2158,NA
2,"About 1/4 of the time",287,2445,NA
3,"About 1/2 of the time",257,2702,NA
4,"About 3/4 of the time",108,2810,NA
5,"Almost always or always",574,3384,NA
88,"Blank",3086,6470,NA
99,"Error",2,6472,NA
