"SIALANG.Code.or.Value","SIALANG.Value.Description","SIALANG.Count","SIALANG.Cumulative","SIALANG.Skip.to.Item"
"1","English",8842,8842,NA
"2","Spanish",1504,10346,NA
".","Missing",2,10348,NA
