"PFQ061M.Code.or.Value","PFQ061M.Value.Description","PFQ061M.Count","PFQ061M.Cumulative","PFQ061M.Skip.to.Item"
"1","No difficulty",1246,1246,NA
"2","Some difficulty",547,1793,NA
"3","Much difficulty",275,2068,NA
"4","Unable to do",407,2475,NA
"5","Do not do this activity",88,2563,NA
"7","Refused",0,2563,NA
"9","Don't know",5,2568,NA
".","Missing",7077,9645,NA
