"OPDSSFS.Code.or.Value","OPDSSFS.Value.Description","OPDSSFS.Count","OPDSSFS.Cumulative","OPDSSFS.Skip.to.Item"
"0","No",2340,2340,NA
"1","Yes",4,2344,NA
".","Missing",590,2934,NA
