"DX2STBMD.Code.or.Value","DX2STBMD.Value.Description","DX2STBMD.Count","DX2STBMD.Cumulative","DX2STBMD.Skip.to.Item"
"0.729 to 1.408","Range of Values",414,414,NA
".","Missing",71,485,NA
