"DS2IVB6.Code.or.Value","DS2IVB6.Value.Description","DS2IVB6.Count","DS2IVB6.Cumulative","DS2IVB6.Skip.to.Item"
"0.04 to 200","Range of Values",2075,2075,NA
".","Missing",3828,5903,NA
