"PFD069K.Code.or.Value","PFD069K.Value.Description","PFD069K.Count","PFD069K.Cumulative","PFD069K.Skip.to.Item"
"30 to 28490","Range of Values",173,173,NA
"66666","Since birth",10,183,NA
"77777","Refused",0,183,NA
"99999","Don't know",2,185,NA
".","Missing",9637,9822,NA
